"ID","Longitude","Latitude","project_name","FPIC","Protected Area","Forest Type","Contested","Customary_use","legal_tenure","deforestation_driver","monetary_benefit_yn","monetary_benefit_type","direct_cash_yn","employment_yn","non_cash_benefits_yn","economic_activities_list","tenure_yn","education_yn","restriction_yn","enhancement_yn","infrastructure_yn","wellbeing_yn","standards","project_objectives","nationality","type_partner","dist_road_m","dist_road_track_m","dist_water_m"
11,-62.70768,-8.864257,"Manoa REDD+ Project","yes","yes","humid","yes","private","private","cattle grazing;illegal logging;infrastructure;local livelihoods","yes","non-conditional","no","yes","yes","agriculture;agroforestry;tree planting","no","yes","yes","yes","no","yes","VCS;CCB;FSC","climate;biodiversity conservation;social development","Brazil","private for profit",7910.688343893,3621.72367643438,1173.52207779747
12,-70.526498,-9.047868,"Agrocortex REDD Project","no","ND","humid","ND","state;private;communities","state;private;communities","illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;infrastructure","yes","non-conditional","no","yes","yes","ND","yes","yes","yes","yes","no","yes","VCS","biodiversity conservation;climate;social development","Brazil","private for profit",40370.9024303514,35810.1965575648,1060.4511087223
13,-50.82404,-1.938712,"Rio Anapu-Pacaja REDD Project","no","no","humid","no","communities","communities","local livelihoods","yes","non-conditional","no","yes","yes","agriculture;agroforestry;ecotourism;fuel efficient stoves","yes","yes","yes","no","no","yes","VCS;CCB","indigenous peoples;social development;climate","Brazil","private for profit",30.8828102834158,30.8828102834158,1160.28072197447
14,-59.696525,-5.6237778,"Yellow Ipê Program","ND","yes","humid","no","private;state;communities","private;state","cattle grazing;infrastructure;local livelihoods","yes","conditional","yes","ND","yes","ntfp","no","yes","yes","yes","no","yes","VCS","climate;social development;biodiversity conservation","Brazil","private for profit",42806.7079802771,11032.4212049289,4268.10283303134
15,-59.394978,-7.560309,"EVERGREEN REDD+ PROJECT","yes","yes","humid","ND","private;communities","private","illegal logging;agriculture;local livelihoods","yes","non-conditional","no","yes","yes","ntfp","yes","yes","yes","ND","ND","ND","VCS","ecosystem restoration;social development;biodiversity conservation","Brazil","private for profit",34767.4020850095,34767.4020850095,28811.4888223525
16,-66.347021,-9.142691,"UNITOR REDD+ PROJECT","yes","no","humid","yes","private;communities","private","industrial agriculture or cattle ranching;population increase;infrastructure;illegal logging;fire;other policy","yes","conditional","yes","yes","yes","ntfp","yes","yes","yes","no","ND","yes","VCS","climate;biodiversity conservation;social development","Brazil","private for profit;local communities/landowners/cooperatives",5589.26459123395,5589.26459123395,8985.63849810977
17,-51.315856,-1.979919,"ADPML Portel-Para REDD Project","yes","ND","humid","ND","private;communities","private","other land speculation;illegal logging;infrastructure","no","ND","ND","ND","yes","agroforestry;fuel efficient cookstoves","yes","yes","yes","yes","ND","ND","VCS;CCB","ecosystem restoration;climate;biodiversity conservation","Guernsey","private for profit",31073.4793336929,23266.3337259905,14643.2419475783
18,103.66264,14.30416,"Oddar Meanchey REDD Project","no","no","dry and humid","ND","communities","communities","energy wood;fire;illegal logging;industrial wood exploitation;local livelihoods;oil extraction","yes","conditional","ND","yes","yes","micro-credits;processing and commercialization","yes","yes","yes","yes","no","yes","CCB;VCS","biodiversity conservation;climate;social development","United States;Cambodia","ngo/private non for profit;public;private for profit",40.8614359992523,40.8614359992523,12553.7218220417
19,106.921028,12.136975,"Seima Protection Forest REDD pilot project","no","yes","dry and humid","ND","communities","state","industrial agriculture or cattle ranching;infrastructure;slash and burn agriculture","yes","non-conditional","no","yes","yes","ecotourism;micro-credits;plantation forestry;tree planting","yes","yes","yes","no","yes","no","CCB;VCS","biodiversity conservation;social development;timber production","Cambodia;United States","public;ngo/private non for profit",204.503461039617,204.503461039617,698.842534191066
20,-77.330833,8.405559,"The Chocó-Darién Conservation Corridor REDD Project","no","no","humid","no","private;communities","communities","illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;local livelihoods","yes","both","yes","yes","yes","agriculture;conservation agriculture;micro-credits;microenterprise;processing and commercialization","yes","no","yes","yes","yes","yes","CCB;VCS","biodiversity conservation;social development;climate","United States;Colombia","private for-profit;ngo/private non for profit",7300.16700826097,6161.4519033129,807.181888128027
21,-76.93361,5.201944,"Rio Pepe y ACABA REDD+ Project","yes","no","humid","no","communities","communities","illegal logging;local livelihoods","yes","conditional","yes","yes","yes","agriculture;agroforestry","yes","no","yes","no","yes","yes","CCB;VCS","climate;biodiversity conservation;social development","Colombia","public",956.497048016384,956.497048016384,1139.58335876397
22,-77.22167,4.704722,"Concosta REDD+ Project","yes","no","humid","no","communities","communities","illegal logging;local livelihoods","yes","conditional","yes","yes","yes","agriculture;agroforestry","yes","no","yes","yes","yes","yes","VCS;CCB","climate;biodiversity conservation;social development","Colombia","public",32271.6437045002,32271.6437045002,1601.96679182282
23,-76.487778,7.298889,"Mutatá REDD+ Project","yes","no","humid","no","communities","communities","industrial wood exploitation;local livelihoods","yes","conditional","yes","yes","yes","other","yes","yes","yes","yes","yes","yes","CCB;VCS","climate;biodiversity conservation;social development","Colombia","public",1261.70077727595,1261.70077727595,77.361970285902
24,-77.195556,3.444167,"Cajambre REDD+ Project","yes","yes","humid","no","communities","communities","cattle grazing;illegal logging;industrial agriculture or cattle ranching","yes","conditional","yes","yes","yes","agriculture;fishing","yes","yes","yes","ND","yes","yes","CCB;VCS","climate;biodiversity conservation;social development","Colombia","public",34813.1149600203,30069.7553025892,1330.53381919429
25,-76.980833,6.924444,"Carmen del Darién (CDD) REDD+ Projec","yes","no","humid","no","communities","communities","ND","yes","conditional","yes","yes","yes","agriculture;fishing","yes","yes","yes","yes","yes","yes","CCB;VCS","climate;biodiversity conservation;social development","Colombia","public",31281.8824761944,23911.3681999203,2116.51880717821
26,-77.318611,4.96,"Sivirú, Usaragá, Pizarro y Pilizá (SUPP) REDD+ Project","yes","no","humid","no","communities","communities","illegal logging;local livelihoods","yes","conditional","yes","yes","yes","agriculture;fishing","yes","yes","yes","yes","yes","yes","CCB;VCS","climate;biodiversity conservation;social development","Colombia","public",4883.6511860018,4883.6511860018,381.488176614818
27,-77.159722,4.005278,"Bajo Calima y Bahía Málaga (BCBM) REDD+ Project","yes","yes","humid","yes","communities","communities","industrial wood exploitation;illegal logging;industrial agriculture or cattle ranching;cattle grazing","yes","conditional","yes","yes","yes","agriculture;fishing","yes","yes","yes","yes","yes","yes","CCB;VCS","climate;biodiversity conservation;social development","Colombia","public",5450.88851997375,5450.88851997375,9647.22858128604
28,-78.892778,1.642778,"ACAPA – Bajo Mira y Frontera (ACAPA-BMF) REDD+ Project","yes","no","humid","no","communities","communities","illegal logging;local livelihoods","yes","conditional","yes","yes","yes","agriculture;fishing","yes","yes","yes","yes","yes","yes","CCB;VCS","climate;biodiversity conservation;social development","Colombia","public",7976.25009415358,6275.40998104037,220.127470301098
29,-68.868802,4.089561,"REDD+ Project Resguardo Indígena Unificado de la Selva de Matavén (RIU-SM)","ND","no","dry and humid","yes","communities","communities","industrial agriculture or cattle ranching;local livelihoods;mining","ND","ND","ND","ND","yes","agriculture;agroforestry","no","yes","yes","ND","ND","ND","CCB;VCS","biodiversity conservation;ecosystem restoration;social development;climate","Colombia","ngo/private non for profit;private for profit",61638.8809103855,61638.8809103855,23789.5684456922
30,18.1062,-2.045,"The Mai N'dombe REDD+ Project","no","no","humid","yes","private;communities","state","charcoal production;energy wood;industrial wood exploitation;local livelihoods;slash and burn agriculture","yes","non-conditional","yes","yes","yes","agriculture;agroforestry;tree planting","no","yes","yes","yes","yes","yes","VCS;CCB","return on investment;climate;social development","Canada;United States","private for profit;ngo/private non for profit",2879.87015452992,2572.37261776781,3048.9290763438
31,106.02861,14.690832,"Reducing Emissions from Deforestation and Carbon Enhancement in Xe Pian National Protected Area","yes","yes","other","no","state;communities","state","illegal logging;industrial agriculture or cattle ranching;local livelihoods","ND","ND","ND","yes","no","ecotourism","yes","yes","yes","yes","yes","ND","CCB;VCS","biodiversity conservation;social development;climate","Austria;Lao People's Democratic Republic","private for-profit;ngo/private non for profit",6356.38704925406,6356.38704925406,6522.50214185102
32,48.833333,-17.666667,"Reduced Emissions from Deforestation in the Ankeniheny-Zahamena Corridor (CAZ) Protected Area, Madagascar","no","yes","humid","no","state;private;communities","state","local livelihoods;slash and burn agriculture","yes","non-conditional","ND","yes","yes","agriculture;agroforestry;conservation agriculture;ecotourism","no","no","yes","yes","no","yes","VCS;CCB","biodiversity conservation;climate;social development","United States;Madagascar","ngo/private non for profit;public",438.966642613673,438.966642613673,404.229838298028
33,38.333569,-16.622393,"Gilé National Reserve REDD Project","yes","yes","dry","no","communities","communities","charcoal production;illegal logging;local livelihoods;slash and burn agriculture","yes","non-conditional","no","yes","yes","agriculture;tree planting","yes","yes","yes","yes","ND","ND","VCS;CCB","climate;social development;biodiversity conservation","Mozambique","public;ngo/private non for profit",13862.731870109,13862.731870109,20007.8243619296
34,-69.537872,-12.689883,"Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru","no","yes","humid","ND","communities","communities","infrastructure;local livelihoods;mining","yes","conditional","yes","ND","yes","agroforestry;ecotourism;processing and commercialization;sustainable mining activities","no","no","yes","no","no","no","CCB;VCS","climate;social development;biodiversity conservation","Peru","ngo/private non for profit",933.483415819117,188.553543978265,4941.73225478565
35,-77.19922,-7.06739,"Biocorridor Martin Sagrado REDD+ Project","no","no","humid","yes","private;communities","private;communities","industrial agriculture or cattle ranching;industrial wood exploitation;infrastructure;local livelihoods;mining","yes","non-conditional","no","yes","yes","agroforestry;ecotourism;micro-credits;processing and commercialization","yes","yes","yes","yes","no","yes","CCB;VCS","biodiversity conservation;social development;climate","France","private for profit",15411.0767530954,15411.0767530954,168.958052243854
36,-77.3315,-5.6432,"Alto Mayo Conservation Initiative","no","yes","humid","ND","state;private;communities","state","industrial agriculture or cattle ranching;infrastructure;local livelihoods","yes","conditional","yes","ND","yes","other","no","yes","yes","yes","yes","yes","CCB;VCS","social development;biodiversity conservation;climate","Peru","ngo/private non for profit",5623.27943984411,5623.27943984411,873.726997907401
37,-70.050486,-11.075057,"Madre de Dios Amazon REDD Project","ND","no","humid","ND","private","state","illegal logging;transient agriculture","yes","non-conditional","yes","ND","yes","fishing;other","no","yes","yes","yes","yes","yes","CCB;VCS;FSC","climate;indigenous peoples;biodiversity conservation","Uruguay","ngo/private non for profit",4674.93867662791,4674.93867662791,9320.78868787388
38,-76.093,-7.817,"REDD Project in the Cordillera Azul National Park","no","yes","humid","ND","state","state","illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;local livelihoods;oil extraction","yes","non-conditional","no","yes","yes","agroforestry;ecotourism","yes","yes","yes","ND","ND","ND","VCS;CCB","biodiversity conservation;climate;social development","Peru","ngo/private non for profit",33053.5575867508,33053.5575867508,3052.93906530783
39,-69.249983,-12.762983,"Evio Kuiñaje Ese Eja Cuana to mitigate climate change, Madre de Dios- Perú","ND","no","humid","no","communities","state;communities","illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods","ND","ND","ND","no","yes","agroforestry;ecotourism","yes","yes","no","yes","ND","ND","CCB;VCS","biodiversity conservation;climate;participatory forest management","Peru","local communities/landowners/cooperatives",3096.82975231849,3096.82975231849,1699.28044418841
40,-77.171749,-7.255525,"REDD in the Conservation Concession Alto Huayabamba","no","no","humid","ND","private","private","infrastructure;local livelihoods;mining","yes","conditional","yes","ND","yes","ecotourism;processing and commercialization","no","yes","yes","no","ND","ND","CCB;VCS","biodiversity conservation;social development;participatory forest management","Peru","ngo/private non for profit",16900.5664774838,16900.5664774838,3805.65548936413
41,-75.27214,-9.003746,"Forest Management to Reduce Deforestation and Degradation in Shipibo Conibo and Cacataibo Indigenous Communities of Ucayali Region","ND","no","humid","no","communities","ND","cattle grazing;illegal logging;local livelihoods;mining","yes","conditional","yes","ND","yes","agriculture;agroforestry;fishing;plantation forestry;processing and commercialization;tree planting","no","yes","yes","yes","no","no","VCS;CCB;FSC","climate;social development;biodiversity conservation","Peru","ngo/private non for profit",1574.5265003687,1574.5265003687,49.4853187747404
42,-70.476654,-11.209927,"The Jaguar Amazon REDD Project","no","yes","humid","no","private","private","industrial wood exploitation","yes","non-conditional","no","yes","yes","agriculture;fishing","no","no","yes","no","no","yes","CCB;VCS","climate;social development;biodiversity conservation","Uruguay","ngo/private non for profit",12507.1362498818,12507.1362498818,2734.66023376669
43,-69.579607,-10.947901,"FOREST MANAGEMENT TO MITIGATE CLIMATE CHANGE IN BÉLGICA NATIVE COMMUNITY, MADRE DE DIOS REGION – PERU","yes","no","humid","no","communities","communities","industrial wood exploitation;slash and burn agriculture;industrial agriculture or cattle ranching;illegal logging;infrastructure","yes","conditional","yes","yes","yes","agroforestry;fishing;ntfp;other silvopastoral;other sustainable timber harvesting","no","yes","yes","no","ND","yes","VCS;CCB","climate;social development;biodiversity conservation","Peru","ngo/private non for profit",546.832518902244,546.832518902244,562.601140928828
44,-10.9813,7.719627,"Gola REDD Project","yes","yes","humid","ND","communities","state","illegal logging;industrial agriculture or cattle ranching;local livelihoods;mining","yes","non-conditional","yes","yes","yes","agriculture;agroforestry;ecotourism","yes","yes","yes","no","no","yes","CCB;VCS","biodiversity conservation;social development;non timber production","Sierra Leone","ngo/private non for profit",2187.98904262687,2028.29737191748,1660.9088960306
45,35.625665,-9.118547,"Ntakata Mountains REDD","yes","no","humid","yes","communities","state","cattle grazing;infrastructure;local livelihoods;mining;slash and burn agriculture","yes","non-conditional","no","yes","yes","agriculture","yes","yes","yes","no","yes","yes","VCS;CCB","participatory forest management;climate;biodiversity conservation","Tanzania, United Republic of","ngo/private non for profit",20.7338588926747,20.7338588926747,4489.78711470179
46,28.963333,-15.342778,"Lower Zambezi REDD+ project","yes","yes","dry","no","private","private","charcoal production;local livelihoods;slash and burn agriculture","yes","conditional","yes","yes","yes","agriculture;agroforestry;economic interest groups;ecotourism;microenterprise;tree planting","no","yes","yes","yes","yes","yes","CCB;VCS","biodiversity conservation;climate;social development","Mauritius","private for profit",6555.25471072752,2388.79390107787,6538.03416895859
47,32.86468,-12.820198,"Comaco Landscape Management Project","yes","ND","other","no","communities","communities","charcoal production;energy wood;local livelihoods;slash and burn agriculture","yes","conditional","yes","ND","yes","agriculture;agroforestry;microenterprise;other","yes","yes","yes","ND","ND","ND","VCS","social development;biodiversity conservation;ND","Zambia;Germany","ngo/private non for profit;private for profit",5097.63519842182,411.1155348914,388.128440201608
48,-50.161,-2.4,"ABC Norte REDD Project","yes","no","humid","no","private","private","industrial agriculture or cattle ranching;illegal logging;infrastructure;slash and burn agriculture;industrial wood exploitation","yes","conditional","no","yes","yes","other","no","yes","yes","no","yes","yes","VCS;CCB","climate;biodiversity conservation;social development","Brazil","Private for profit",23009.7080414309,23009.7080414309,2697.71099558874
49,-57.508772,-17.967422,"The Serra do Amolar REDD+ Project","yes","yes","humid","no","communities","state;private;communities","industrial agriculture;cattle ranching","yes","conditional","no","yes","yes","ecotourism","yes","yes","yes","yes","yes","yes","VCS;CCB","climate;social development;biodiversity conservation","Brazil","NGO",13955.9142866448,13955.9142866448,1693.96251983961
50,-76.587708,5.094653,"Condoto REDD+ Project","yes","no","humid","yes","communities","communities","mining;illegal logging;local livelihoods","yes","conditional","no","yes","yes","agriculture","yes","yes","yes","yes","yes","yes","VCS;CCB","climate;biodiversity conservation;social development","Colombia","public;private for profit",2445.77630172695,2445.77630172695,1663.06762671465
51,-69.973701,-11.359049,"Tahuamanu Amazon REDD Project","no","yes","humid","no","communities","public","agriculture;illegal logging","yes","conditional","no","yes","yes","agriculture","yes","yes","yes","yes","yes","yes","VCS;CCB","climate;biodiversity conservation;social development","Peru","Private for profit",25479.453820008,14349.8755884588,3641.48408068358
52,23.941062,6.251735,"Chinko Conservation Area REDD+ Project","no","yes","dry and humid","no","communities","public","local livelihoods;slash and burn agriculture","yes","conditional","no","yes","yes","agriculture;other","no","yes","yes","yes","yes","yes","VCS;CCB","climate;community;biodiversity conservation","Central African Republic","NGO",9622.00456868273,3621.23188767304,27027.7916990324
